code,name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
531307,RRIL,X,13.75,13.75,12.50,13.46,49067,6.49,96,
533262,RAMKY,B,277.55,281.40,276.00,277.30,2335,6.49,154,
543328,KRSNAA,B,358.65,366.75,357.20,364.90,1782,6.46,156,
524820,PANAMAPET,B,298.00,305.30,296.45,304.70,2134,6.44,112,
500280,CENTENKA,B,351.30,357.50,351.20,356.30,1811,6.43,292,
524330,JAYAGROGN,B,162.05,163.90,157.05,161.95,3977,6.42,105,
530079,FAZE3Q,B,271.60,278.50,271.60,274.00,2313,6.39,70,
504212,UNIVCABLES,B,334.65,349.05,333.05,347.65,1858,6.39,179,
506390,CLNINDIA,B,306.90,308.00,303.35,308.00,2093,6.39,110,
543593,DBOL,B,147.05,148.30,146.40,147.30,4303,6.33,183,
533520,YAARI,B,11.70,13.40,11.70,13.10,48373,6.29,331,
522217,GUJAPOLLO,B,214.90,219.70,206.15,206.70,2948,6.28,269,
530131,UDAICEMENT,B,28.60,29.65,28.60,29.44,21529,6.26,208,
532795,SITINET,T,1.00,1.00,1.00,1.00,624656,6.24,229,
539398,VISHALBL,B,96.00,101.00,92.04,98.60,6389,6.24,236,
532011,POOJAENT,XT,169.20,169.20,164.00,169.15,3677,6.22,15,
532413,CEREBRAINT,B,9.00,9.51,9.00,9.51,65699,6.22,170,
524824,BALPHARMA,B,69.00,71.20,69.00,71.20,8924,6.21,172,
506943,JBCHEPHARM,A,1936.25,1981.30,1936.25,1981.30,314,6.18,88,
531688,PRITHVIEXCH,X,69.03,72.45,67.26,69.99,8908,6.16,91,
507552,FOODSIN,B,129.90,129.90,127.00,127.80,4784,6.13,128,
540615,7NR,B,0.66,0.66,0.65,0.66,928099,6.11,576,
500078,OAL,B,351.00,351.00,341.15,346.00,1770,6.10,155,
533151,DBCORP,B,93.30,96.71,93.30,96.50,6411,6.10,213,
514354,PREMIERPOL,B,88.00,92.55,84.00,88.86,6930,6.08,137,
539301,ARVSMART,B,249.70,263.65,249.00,261.60,2326,6.05,111,
